County,City/Town,Neighborhoods,Area Code,Zip Codes,Search Terms,Long-Tail Keywords,Common Questions,Points of Interest,Cuisine,Fun Facts
Alameda,Alameda,"""Bay Farm Island
Fernside
Mastick
Park Street
Southshore
Webster Street""",510,"94501, 94502","Alameda CA, Alameda city, Alameda neighborhoods, Alameda area code, Alameda zip codes","things to do in Alameda CA, Alameda attractions, Alameda restaurants, Alameda real estate, Alameda history",What is the population of Alameda? What are the top employers in Alameda? What are the best neighborhoods in Alameda?,"Crab Cove, Alameda Naval Air Museum, Crown Memorial State Beach, Alameda Marketplace","Seafood, Italian, Mexican","Alameda was once an island, the USS Hornet aircraft carrier is docked in Alameda"
Alameda,Albany,"""Albany Hill
Codornices Village
Dartmouth
El Cerrito Hills
Thousand Oaks""",510,94706,"Albany CA, Albany city, Albany neighborhoods, Albany area code, Albany zip codes","things to do in Albany CA, Albany attractions, Albany restaurants, Albany real estate, Albany history",What is the population of Albany? What are the top employers in Albany? What are the best neighborhoods in Albany?,"Bulb District, Codornices Park, Albany Waterfront","Sushi, Mediterranean, Vegetarian","Albany is home to the University of California, Berkeley campus"
Alameda,Berkeley,"Bateman
Berkeley Hills
Claremont
Downtown Berkeley
Elmwood
Gourmet Ghetto
Halcyon
Hearst
Hopkins
Live Oak
Lorin
North Berkeley
Northwest Berkeley
Panoramic Hill
Poet's Corner
Southside
Westbrae",510,"94701, 94702, 94703, 94704, 94705, 94707, 94708, 94709, 94710, 94712, 94720","Berkeley CA, Berkeley city, Berkeley neighborhoods, Berkeley area code, Berkeley zip codes","""things to do in Berkeley CA, Berkeley attractions, Berkeley restaurants, Berkeley real estate, Berkeley history""",What is the population of Berkeley? What are the top employers in Berkeley? What are the best neighborhoods in Berkeley?,"UC Berkeley, Berkeley Marina, Tilden Regional Park, Gourmet Ghetto","American, Vegetarian, Fusion",Berkeley is known for its progressive politics and vibrant arts and culture scene
Alameda,Dublin,"Dougherty Valley
Dublin Ranch
Fallon Village
Positano Hills
Tassajara Crossing",925,94568,,,,,,
Alameda,Emeryville,"Emeryville Crescent
Emeryville Greenway
Emeryville Marina
Emeryville Warehouse District
Hollis Street District
Watergate",510,94608,,,,,,
Alameda,Fremont,"Ardenwood
Centerville
Irvington
Niles
Northgate
Mission San Jose
Warm Springs","510, 408","94536, 94537, 94538, 94539, 94555",,,,,,
Alameda,Hayward,"Burbank
Fairview
Hayward Hills
Mount Eden
Palma Ceia
Tennyson Highlands
Winton",510,"94540, 94541, 94542, 94544, 94545, 94546, 94552",,,,,,
Alameda,Livermore,"Altamont
Downtown Livermore
East Livermore
North Livermore
Ruby Hill
South Livermore
Springtown",925,"94550, 94551, 94588",,,,,,
Alameda,Newark,"Centerville
Lakeshore
Mayhews
Newpark
Thornton",510,94560,,,,,,
Alameda,Oakland,"Adams Point
Chinatown
Dimond District
Downtown Oakland
East Oakland
Fruitvale
Grand Lake
Glenview
Hiller Highlands
Jack London Square
Lakeshore
Laurel District
Montclair
North Oakland
Piedmont Avenue
Rockridge
Temescal
Uptown Oakland
West Oakland",510,"94601, 94602, 94603, 94604, 94605, 94606, 94607, 94609, 94610, 94611, 94612, 94613, 94614, 94615, 94617",,,,,,
