Group,Category,Item,Description,alt,Github Repo,Github Location
Pavers,Types,Concrete,"We offer a wide selection of concrete pavers in various sizes, shapes, and colors to suit any design style. Our concrete pavers are durable, low-maintenance, and suitable for driveways, patios, walkways, and pool decks.","Concrete pavers in various sizes, shapes, and colors",ebowwagoldson/goldson-public-storage,projects/images/41.webp
Pavers,Types,Clay,"Our clay pavers are a classic choice for those looking to add warmth and charm to their outdoor spaces. Available in a range of earth tones, these pavers are durable, slip-resistant, and easy to maintain.",Clay pavers in earth tones,ebowwagoldson/goldson-public-storage,pavers/types/clay_pavers.webp
Pavers,Types,Natural Stone,"We provide a variety of natural stone pavers, including flagstone, travertine, slate, and granite. Each type of stone offers unique textures, colors, and patterns that can elevate the look of your outdoor area. Our natural stone pavers are durable and long-lasting, making them an excellent investment for your property.",Natural stone pavers in various types and colors,ebowwagoldson/goldson-public-storage,pavers/types/natural_stone_pavers.webp
Pavers,Types,Porcelain,"Our porcelain pavers are a modern and versatile option for outdoor spaces. They are highly durable, stain-resistant, and low-maintenance, making them perfect for high-traffic areas. Available in a wide array of colors, patterns, and sizes, porcelain pavers can mimic the look of natural stone or wood while offering superior performance.","Porcelain pavers in various colors, patterns, and sizes",ebowwagoldson/goldson-public-storage,projects/images/2.webp
Pavers,Types,Permeable,"We offer permeable pavers as an eco-friendly solution for managing stormwater runoff. These pavers allow water to pass through the joints and into the underlying soil, reducing the risk of flooding and erosion. Our permeable pavers come in various styles and colors to complement any landscape design.",Permeable pavers in various styles and colors,ebowwagoldson/goldson-public-storage,pavers/types/Permeable_pavers.webp
Pavers,Types,Borders & Accents,"Our paver borders and accents are designed to add visual interest and definition to your paved surfaces. We offer a range of options, including contrasting colors, patterns, and materials, to help you create a unique and cohesive look for your outdoor space.","Paver borders and accents in various colors, patterns, and materials",ebowwagoldson/goldson-public-storage,pavers/types/Paver-Borders-Accents.webp
Pavers,Types,Brick,"Our brick pavers offer a classic and timeless look that can enhance the charm and character of any outdoor space. Available in a variety of colors and textures, our brick pavers are durable, low-maintenance, and suitable for a wide range of applications, including driveways, patios, and walkways.",Brick pavers in various colors and textures,ebowwagoldson/goldson-public-storage,pavers/types/BrickPavers.webp
Pavers,Shapes,Rectangle,"Our rectangular pavers are a classic choice for creating clean lines and modern designs. Available in various sizes and colors, these pavers are versatile and can be laid in different patterns to achieve the desired look.",Rectangular pavers in various sizes and colors,ebowwagoldson/goldson-public-storage,pavers/shapes/_Seamless_aggregate_concrete_pavers_tile_texture_in_cream_.webp
Pavers,Shapes,Square,"We offer square pavers in a range of sizes and colors, providing a symmetrical and balanced look for your outdoor space. These pavers are perfect for creating modular designs and can be laid in various patterns, such as stacked bond or running bond.",Square pavers in various sizes and colors,ebowwagoldson/goldson-public-storage,pavers/shapes/Coating_with_modern_textured_paving_tiles_of_square_shape.webp
Pavers,Shapes,Hexagon,"Our hexagonal pavers add a unique and eye-catching element to any paved surface. These pavers can be used alone or in combination with other shapes to create intricate patterns and designs. Available in various colors and sizes, hexagonal pavers are sure to make a statement in your outdoor space.",Hexagonal pavers in various colors and sizes,ebowwagoldson/goldson-public-storage,pavers/types/Hexagon_paving_stone_textured.webp
Pavers,Shapes,Octagon,"We provide octagonal pavers for those looking to add a touch of sophistication to their outdoor area. These pavers can be combined with square pavers to create stunning patterns, such as the classic checkerboard design. Our octagonal pavers come in a variety of colors and sizes to suit your project needs.",Octagonal pavers in various colors and sizes,ebowwagoldson/goldson-public-storage,pavers/types/OctogonPaver.webp
Pavers,Shapes,Circle,"Our circular pavers are perfect for creating focal points, such as a fire pit or water feature surround. These pavers can also be used to soften the edges of square or rectangular paved areas. We offer circular pavers in various sizes and colors to complement your landscape design.",Circular pavers in various sizes and colors,ebowwagoldson/goldson-public-storage,pavers/types/circle_brick_pavers.webp
Pavers,Shapes,Fan,"We offer fan-shaped pavers to add a dynamic and flowing element to your paved surfaces. These pavers are ideal for creating curved borders, arches, or serpentine paths. Our fan pavers come in a range of sizes and colors, allowing you to create unique and eye-catching designs.",Fan-shaped pavers in various sizes and colors,ebowwagoldson/goldson-public-storage,pavers/types/fan-pavers.webp
Pavers,Shapes,Irregular,"Our irregular pavers are perfect for creating a more organic and natural look in your outdoor space. These pavers come in various shapes and sizes, allowing you to create a one-of-a-kind paved surface that mimics the look of natural stone. We offer irregular pavers in a range of colors to suit your design preferences.","Irregular pavers in various shapes, sizes, and colors",ebowwagoldson/goldson-public-storage,pavers/types/irregular-pavers.webp
Pavers,Finishes,Smooth,"We provide smooth-finished pavers for a clean and modern look. These pavers have a flat, even surface that is easy to walk on and maintain. Our smooth pavers are available in a variety of colors and sizes to suit your project requirements.",Smooth-finished pavers in various colors and sizes,ebowwagoldson/goldson-public-storage,pavers/smooth.webp
Pavers,Finishes,Textured,"Our textured pavers offer a slip-resistant surface, making them ideal for pool decks, walkways, and other areas where safety is a concern. The textured finish also adds visual interest and depth to your paved surface. We offer a range of textures, colors, and sizes to choose from.","Textured pavers in various textures, colors, and sizes",ebowwagoldson/goldson-public-storage,"pavers/Wet_asphalt,_close-up_background_and_texture.webp"
Pavers,Finishes,Tumbled,"We offer tumbled pavers for a rustic, timeworn look. The tumbling process softens the edges and gives the pavers a slightly distressed appearance, adding character and charm to your outdoor space. Our tumbled pavers come in a variety of colors and sizes to suit your design needs.",Tumbled pavers in various colors and sizes,ebowwagoldson/goldson-public-storage,pavers/Tumbled-finish.webp
Pavers,Finishes,Polished,"Our polished pavers offer a sleek and sophisticated look for your outdoor area. The smooth, glossy surface reflects light and adds a touch of elegance to your paved surface. We provide polished pavers in a range of colors and sizes to complement your landscape design.",Polished pavers in various colors and sizes,ebowwagoldson/goldson-public-storage,pavers/polished.webp
Pavers,Finishes,Brushed,We offer brushed pavers for a more natural and organic look. The brushed finish creates a slightly textured surface that mimics the appearance of natural stone. Our brushed pavers are available in various colors and sizes to suit your project needs.,Brushed pavers in various colors and sizes,ebowwagoldson/goldson-public-storage,projects/images/9.webp
Pavers,Finishes,Antiqued,"Our antiqued pavers are designed to create a timeless and classic look in your outdoor space. The aging process gives these pavers a weathered appearance, adding character and charm to your paved surface. We provide antiqued pavers in a variety of colors and sizes to suit your design preferences.",Antiqued pavers in various colors and sizes,ebowwagoldson/goldson-public-storage,pavers/finishes/Antiquated.webp
Pavers,Finishes,Honed,"We offer honed pavers for a smooth, matte finish that is both elegant and slip-resistant. The honing process removes any glossiness, resulting in a more natural look. Our honed pavers are available in a range of colors and sizes to complement your outdoor area.",Honed pavers in various colors and sizes,ebowwagoldson/goldson-public-storage,pavers/finishes/Honed.webp
Pavers,Finishes,Slate,"Our slate-textured pavers offer a rugged, natural aesthetic with excellent slip resistance. The textured surface mimics the look and feel of natural slate, adding depth and character to your outdoor space. Choose from various colors and sizes to create a unique and inviting patio, walkway, or pool deck. 
","A grey, textured, stamped concrete patio with the shadow of a palm tree falling across it""",ebowwagoldson/goldson-public-storage,pavers/finishes/_Stamp_concrete_texture_pattern_and_background_for_outdoor_floor_finishing_.webp
Pavers,Colors,Gray,"Our gray pavers are a versatile and neutral choice that can complement any landscape design. We offer a range of shades, from light to dark gray, in various sizes and finishes to suit your project needs.","Gray pavers in a range of shades, sizes, and finishes",ebowwagoldson/goldson-public-storage,materials/_Gray_cement_solid_brick_isolated_on_a_white_background_.webp
Pavers,Colors,Tan,"We provide tan pavers for a warm and inviting look in your outdoor space. Our tan pavers come in a variety of shades, from light sand to deeper honey tones, and are available in various sizes and finishes to complement your design preferences.","Tan pavers in a range of shades, sizes, and finishes",ebowwagoldson/goldson-public-storage,
